id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
192,198.00,4to1_0,5.10,0.00,6.00,505.00,1to2_0,489.60,15.51,307.00,993.46,182.00,6,0.00,245.90,0,tripinfo_192 routing_192,DEFAULT_VEHTYPE,1.10,
191,195.00,4to1_0,5.10,0.00,4.00,508.00,1to2_0,489.60,12.77,313.00,993.46,185.00,6,0.00,240.49,0,tripinfo_191 routing_191,DEFAULT_VEHTYPE,0.93,
279,280.00,5to1_0,5.10,0.00,1.00,509.00,1to3_0,489.60,14.11,229.00,993.46,122.00,4,0.00,160.04,0,tripinfo_279 routing_279,DEFAULT_VEHTYPE,0.97,
308,308.00,5to1_0,5.10,0.00,0.00,509.00,1to5_0,489.60,13.78,201.00,978.78,100.00,4,0.00,134.61,0,tripinfo_308 routing_308,DEFAULT_VEHTYPE,0.99,
340,341.00,5to1_0,5.10,0.00,1.00,510.00,1to5_1,489.60,15.84,169.00,978.78,77.00,3,0.00,108.40,0,tripinfo_340 routing_340,DEFAULT_VEHTYPE,1.11,
427,436.00,5to1_0,5.10,0.00,9.00,513.00,1to4_1,489.60,15.03,77.00,994.90,0.00,0,0.00,12.72,0,tripinfo_427 routing_427,DEFAULT_VEHTYPE,1.05,
425,433.00,5to1_0,5.10,0.00,8.00,516.00,1to4_0,489.60,12.78,83.00,994.90,0.00,0,0.00,6.81,0,tripinfo_425 routing_425,DEFAULT_VEHTYPE,0.88,
196,201.00,4to1_0,5.10,0.00,5.00,517.00,1to4_1,489.60,14.81,316.00,978.78,183.00,7,0.00,251.35,0,tripinfo_196 routing_196,DEFAULT_VEHTYPE,1.03,
449,449.00,5to1_0,5.10,0.00,0.00,519.00,1to2_1,489.60,16.72,70.00,983.13,0.00,0,0.00,9.91,0,tripinfo_449 routing_449,DEFAULT_VEHTYPE,1.12,
438,445.00,4to1_0,5.10,0.00,7.00,520.00,1to3_1,489.60,15.83,75.00,983.13,0.00,0,0.00,17.21,0,tripinfo_438 routing_438,DEFAULT_VEHTYPE,1.17,
365,365.00,5to1_0,5.10,0.00,0.00,522.00,1to3_1,489.60,12.38,157.00,993.46,68.00,3,0.00,97.04,0,tripinfo_365 routing_365,DEFAULT_VEHTYPE,1.12,
441,441.00,5to1_0,5.10,0.00,0.00,522.00,1to2_0,489.60,13.05,81.00,983.13,0.00,0,0.00,8.88,0,tripinfo_441 routing_441,DEFAULT_VEHTYPE,0.93,
431,436.00,4to1_0,5.10,0.00,5.00,523.00,1to5_0,489.60,11.35,87.00,994.90,0.00,0,0.00,6.65,0,tripinfo_431 routing_431,DEFAULT_VEHTYPE,0.83,
204,208.00,4to1_0,5.10,0.00,4.00,525.00,1to2_1,489.60,14.74,317.00,993.46,173.00,7,0.00,254.02,0,tripinfo_204 routing_204,DEFAULT_VEHTYPE,1.07,
436,442.00,4to1_0,5.10,0.00,6.00,526.00,1to3_0,489.60,12.47,84.00,983.13,0.00,0,0.00,9.09,0,tripinfo_436 routing_436,DEFAULT_VEHTYPE,0.88,
211,214.00,4to1_0,5.10,0.00,3.00,527.00,1to4_0,489.60,14.40,313.00,978.78,170.00,7,0.00,248.69,0,tripinfo_211 routing_211,DEFAULT_VEHTYPE,1.04,
339,340.00,2to1_0,5.10,0.00,1.00,529.00,1to2_1,489.60,16.92,189.00,978.78,88.00,3,0.00,131.60,0,tripinfo_339 routing_339,DEFAULT_VEHTYPE,1.17,
366,368.00,5to1_0,5.10,0.00,2.00,529.00,1to3_1,489.60,16.16,161.00,993.46,67.00,4,0.00,100.79,0,tripinfo_366 routing_366,DEFAULT_VEHTYPE,1.11,
199,204.00,4to1_0,5.10,0.00,5.00,530.00,1to2_0,489.60,11.66,326.00,993.46,176.00,7,0.00,244.90,0,tripinfo_199 routing_199,DEFAULT_VEHTYPE,0.83,
445,454.00,4to1_0,5.10,0.00,9.00,530.00,1to3_0,489.60,13.45,76.00,983.13,0.00,0,0.00,7.88,0,tripinfo_445 routing_445,DEFAULT_VEHTYPE,0.97,
